序号	汉字	拼音	音调	拼音码
656	俾	bǐ	3	bi
657	笔	bǐ	3	bi
658	粃	bǐ	3	bi
659	粊	bǐ	3	bi
660	舭	bǐ	3	bi
661	啚	bǐ	3	bi
662	筆	bǐ	3	bi
663	鄙	bǐ	3	bi
664	聛	bǐ	3	bi
665	貏	bǐ	3	bi
666	箄	bǐ	3	bi
667	崥	bǐ	3	bi
668	魮	bǐ	3	bi
669	娝	bǐ	3	bi
670	箃	bǐ	3	bi
671	吡	bǐ	3	bi
672	匂	bì	4	bi
673	币	bì	4	bi
674	必	bì	4	bi
675	毕	bì	4	bi
676	闭	bì	4	bi
677	佖	bì	4	bi
678	坒	bì	4	bi
679	庇	bì	4	bi
680	诐	bì	4	bi
681	邲	bì	4	bi
682	妼	bì	4	bi
683	怭	bì	4	bi
684	枈	bì	4	bi
685	畀	bì	4	bi
686	苾	bì	4	bi
687	哔	bì	4	bi
688	毖	bì	4	bi
689	珌	bì	4	bi
690	疪	bì	4	bi
691	胇	bì	4	bi
692	荜	bì	4	bi
693	陛	bì	4	bi
694	毙	bì	4	bi
695	狴	bì	4	bi
696	畢	bì	4	bi
697	袐	bì	4	bi
698	铋	bì	4	bi
699	婢	bì	4	bi
700	庳	bì	4	bi
701	敝	bì	4	bi
702	梐	bì	4	bi
703	萆	bì	4	bi
704	萞	bì	4	bi
705	閇	bì	4	bi
706	閉	bì	4	bi
707	堛	bì	4	bi
708	弻	bì	4	bi
709	弼	bì	4	bi
710	愊	bì	4	bi
711	愎	bì	4	bi
712	湢	bì	4	bi
713	皕	bì	4	bi
714	禆	bì	4	bi
715	筚	bì	4	bi
716	貱	bì	4	bi
717	赑	bì	4	bi
718	嗶	bì	4	bi
719	彃	bì	4	bi
720	楅	bì	4	bi
721	滗	bì	4	bi
722	滭	bì	4	bi
723	煏	bì	4	bi
724	痹	bì	4	bi
725	痺	bì	4	bi
726	腷	bì	4	bi
727	蓖	bì	4	bi
728	蓽	bì	4	bi
729	蜌	bì	4	bi
730	裨	bì	4	bi
731	裨	pí	2	pi
732	跸	bì	4	bi
733	鉍	bì	4	bi
734	閟	bì	4	bi
735	飶	bì	4	bi
736	幣	bì	4	bi
737	弊	bì	4	bi
738	熚	bì	4	bi
739	獙	bì	4	bi
740	碧	bì	4	bi
741	稫	bì	4	bi
742	箅	bì	4	bi
743	箆	bì	4	bi
744	綼	bì	4	bi
745	蔽	bì	4	bi
746	馝	bì	4	bi
747	幤	bì	4	bi
748	潷	bì	4	bi
749	獘	bì	4	bi
750	罼	bì	4	bi
751	襅	bì	4	bi
